author,title,date,style,genre,media,dimensions,tag,location,link,image
Jean Arp,Automatic Drawing,1916,Surrealism,abstract,ink,N/A,N/A,N/A,https://uploads5.wikiart.org/images/jean-arp/automatic-drawing.jpg,automatic-drawing.jpg
Jean Arp,Geometric Collage,1916,Dada,abstract,N/A,33 x 24.25 cm,N/A,Private Collection,https://uploads5.wikiart.org/images/jean-arp/geometric-collage.jpg,geometric-collage.jpg
Jean Arp,Squares or Rectangles Arranged According to the Laws of Chance,1916 - 1917,Dada,abstract,N/A,N/A,N/A,N/A,https://uploads6.wikiart.org/images/jean-arp/squares-or-rectangles-arranged-according-to-laws-of-change-1917.jpg,squares-or-rectangles-arranged-according-to-laws-of-change-1917.jpg
Jean Arp,Terrestrial Forest Form,1917,Surrealism,abstract,wood,N/A,N/A,Private Collection,https://uploads7.wikiart.org/images/jean-arp/terrestrial-forest-form-1917.jpg,terrestrial-forest-form-1917.jpg
Jean Arp,Collage with Squares Arranged According to the Laws of Chance,1917,Dada,abstract,paper,N/A,N/A,"Museum of Modern Art (MoMA), New York City, NY, US",https://uploads5.wikiart.org/images/jean-arp/untitled.jpg,untitled.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-1.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-1.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-2.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-2.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-3.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-3.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-4.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-4.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-5.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-5.jpg
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-6.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-6.jpg
